PostingDate,WhsCode,Sale,Target,Shortfall,LM Sale,MOM Sale,LY Sale,YOY Sale,NOB,TGT NOB,NOB Achv%,Bill Shortfall,LM Bills,MOM Bills,LY Bills,YOY Bills,ABV Bills,ABV Bills TGT,ABV ACHV%,LM ABV,MOM ABV,LY ABV,YOY ABV,NM Target,Margin,LM Margin,LY Margin,MOM Margin,NM ACHV,YOY NM,RGM,RGMTarget,RGM Achv%,LM RGM,MOM RGM,LY RGM,YOY RGM,Damage,TGT Damage,Damage Achv,Damage To Sale,LM Damage,MOM Damage,LY Damage,YOY Damage,Fresh Dump,TGT Fresh Dump,Fresh Dump Achv,Fresh Dump To Sale,LM Fresh Dump,MOM Fresh Dump,LY Fresh Dump,YOY Fresh Dump,Shrinkage,TGT Shrinkage,Shrinkage Achv,Shrinkage To Sale,LM Shrinkage,Shrinkage MOM
'2021-08-01',STR01,652684.09,606595.8299999996,46088.26000000036,700992.6699999996,-6.891452944864551,948455.8200000003,-31.184555333320663,348.0,348.0,100.0,0.0,398.0,-12.562814070351758,435.0,-19.999999999999996,1869.8739080459811,1600.0,116.86711925287383,1776.2819346733652,5.268981885458746,1963.8905287356479,-4.787263817102605,11.188205827263939,13.846508107773847,13.163473980405534,14.600465854065813,0.6830341273683125,123.75986214011216,-0.7539577462919667,90373.95543999995,67867.19000000002,133.16295464715708,92274.98771999999,-2.060181558374796,138478.96813999995,-34.738136300500614,7797.580000000001,2729.6900000000014,285.6580783898537,1.1946943581848306,822.3133399999999,848.2492403686412,0.0,0.0,3336.36996,635.1999999999997,525.2471599496224,0.5111768482053852,2308.84857,44.503628490455725,4785.7674,-30.285580531974865,-431.88,1963.6399999999994,-21.993848159540452,-0.06616983723320115,1113.5138200000006,-138.7853291304458
'2021-08-01',STR11,133484.10999999993,161977.62999999992,-28493.51999999999,150644.62999999986,-11.391391780775685,0.0,0.0,254.0,245.7,103.37810337810338,8.300000000000011,228.0,11.403508771929815,0.0,0.0,534.6240944881885,700.0,76.37487064116978,660.7220614035076,-19.084873092849584,0.0,0.0,10.962322389826308,13.626873640615361,13.368899097166636,0.0,0.25797454344872506,124.30644854289193,0.0,18189.711000000003,17756.510000000006,102.43967423778658,20139.528580000002,-9.68154528669707,0.0,0.0,0.0,728.8999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1197.8077,203.54,588.4876191412009,0.8973410393192124,2751.51,-56.46725979553045,0.0,0.0,0.0,629.6999999999999,0.0,0.0,0.0,0.0
'2021-08-01',STR12,38148.50000000001,79791.02,-41642.52,38957.10000000001,-2.0756165114959924,0.0,0.0,100.0,89.64,111.55734047300312,10.36,90.0,11.111111111111116,0.0,0.0,389.9067999999999,600.0,64.98446666666665,437.6987777777783,-10.918919632451562,0.0,0.0,9.201173264861131,10.067043789401936,10.176956600979024,0.0,-0.10991281157708777,109.41043603479923,0.0,3840.426199999998,7341.709999999999,52.309696242428515,3964.647160000001,-3.1332160211705373,0.0,0.0,0.0,359.05,0.0,0.0,0.0,0.0,0.0,0.0,1750.1292,108.37999999999998,1614.8082672079724,4.587675006881003,948.79502,84.45809296090107,0.0,0.0,0.0,332.73999999999995,0.0,0.0,0.0,0.0
'2021-08-02',STR01,294863.48000000016,455872.79999999993,-161009.31999999977,252326.9000000001,16.857727019988754,270083.6,9.174892514762156,219.0,286.2,76.51991614255765,-67.19999999999999,200.0,9.499999999999996,184.0,19.02173913043479,1341.8647945205475,1600.0,83.86654965753422,1258.9626000000042,6.584960865441358,1204.6061956521753,11.3944789063666,13.488633232778977,15.036580430374071,14.449946723872872,15.628111429201924,0.5866337065011997,111.47593807972626,-0.591530998827853,44337.384329999986,61491.010000000024,72.10384791207686,36461.10262,21.601874721362968,42208.96596,5.042574063569849,5466.6,2051.439999999999,266.4762313301877,1.853942712742859,0.0,0.0,0.0,0.0,3549.72854,568.9000000000003,623.963533134118,1.2038549297457921,2882.3144,23.15549407101458,4147.5445,-14.413732269780343,235.50857999999954,1745.2000000000005,13.494647031858783,0.07987037933622686,154.93992000000026,51.999936491511775
'2021-08-02',STR11,150879.95000000016,107341.5,43538.45000000016,100564.77999999993,50.032595904848854,0.0,0.0,209.0,214.7,97.34513274336284,-5.699999999999989,171.0,22.222222222222232,0.0,0.0,726.8035406698577,650.0,111.81592933382427,590.1991228070165,23.145479649841548,0.0,0.0,12.740915675670642,12.423941723204427,13.95425923469431,0.0,-1.5303175114898835,97.51215720647542,0.0,18745.237059999996,13676.290000000003,137.06375822682898,14033.070100000006,33.57901675414554,0.0,0.0,1322.69,483.0200000000001,273.83752225580713,0.8766506086461446,973.68,35.84442527319038,0.0,0.0,1110.557,161.95999999999992,685.6983205729813,0.7360533987451605,1092.0987,1.6901677476587107,0.0,0.0,-16.15000000000009,484.6700000000001,-3.3321641529288155,-0.010703874172810948,166.91000000000008,-109.67587322509142
'2021-08-02',STR12,30984.500000000004,44841.85,-13857.349999999995,26131.379999999997,18.572000407173327,0.0,0.0,72.0,87.0,82.75862068965517,-15.0,68.0,5.882352941176472,0.0,0.0,456.6363888888892,550.0,83.02479797979804,384.2849999999997,18.827533962785314,0.0,0.0,9.165612034293854,9.348530523326176,12.17741229127586,0.0,-2.828881767949685,101.99570403316132,0.0,2896.595439999999,4110.029999999999,70.47626027060629,3182.1258800000014,-8.972946098537182,0.0,0.0,0.0,201.82999999999998,0.0,0.0,219.24,-100.0,0.0,0.0,927.8395,85.74999999999999,1082.0285714285717,2.994527909115848,1273.9418999999998,-27.16783237916892,0.0,0.0,0.0,247.60000000000002,0.0,0.0,0.0,0.0
'2021-08-03',STR01,304927.61000000004,482913.69999999995,-177986.0899999999,281297.7500000001,8.400301815425081,282000.82,8.130043735333835,234.0,329.4,71.03825136612022,-95.39999999999998,186.0,25.806451612903224,206.0,13.592233009708732,1306.2988888888863,1600.0,81.64368055555539,1511.6510752688214,-13.584628737383508,1196.62645631068,9.165135201534614,10.105501252087072,12.27125008456925,16.202920641917675,15.037383983493383,-3.9316705573484256,121.43138453458594,-2.7661338989241333,37418.429599999996,48800.850000000006,76.67577429491492,45578.451199999996,-17.90324459291851,42405.546140000006,-11.760528973109485,51348.59999999999,2173.0899999999992,2362.9302053757556,16.839603340609262,929.3599999999999,5425.157097357321,0.0,0.0,3006.9906800000003,570.8299999999998,526.775165986371,0.9861326365296996,2605.47125,15.410626004796658,5545.2055,-45.77314258236236,1985.6025299999997,1765.1799999999996,112.48725512412332,0.6511717748353452,854.2024400000005,132.45104872329782
'2021-08-03',STR11,124830.27999999998,117094.45999999996,7735.8200000000215,73771.35000000002,69.21241105117359,0.0,0.0,201.0,277.2,72.51082251082252,-76.19999999999999,132.0,52.27272727272727,0.0,0.0,621.046169154229,700.0,88.720881307747,571.9605303030307,8.5819975768594,0.0,0.0,11.444649046590255,11.800070143237686,12.290140142480785,0.0,-0.490069999243099,103.10556571198069,0.0,14730.060600000004,13401.050000000003,109.91721245723282,9066.602300000002,62.465057058916116,0.0,0.0,15044.9,526.8999999999999,2855.361548680965,12.052284109272208,2656.06,466.4367521818031,0.0,0.0,1895.1072,164.2199999999999,1154.0051150895147,1.5181470393241128,1373.9478000000001,37.931528403044126,0.0,0.0,969.3380699999982,493.22999999999996,196.52861139833308,0.7765247902992753,1583.9518699999996,-38.80255528218807
'2021-08-03',STR12,24160.140000000003,45305.10000000001,-21144.96000000001,37825.840000000004,-36.127948513502936,0.0,0.0,102.0,97.44,104.67980295566504,4.560000000000002,79.0,29.11392405063291,0.0,0.0,248.7526470588235,600.0,41.458774509803916,478.8081012658225,-48.04752751651499,0.0,0.0,9.575654837976295,-16.100924580735047,9.422346470032124,0.0,-25.52327105076717,-168.14437083592492,0.0,-3890.0059200000005,4338.259999999999,-89.6674224228147,3564.0817,-209.14468992110926,0.0,0.0,11526.72,203.87000000000003,5653.955952322557,47.709657311588415,0.0,0.0,0.0,0.0,633.95616,88.12000000000003,719.4236949614159,2.6239755233206425,1319.3892400000002,-51.950785956083756,0.0,0.0,0.0,257.06,0.0,0.0,0.0,0.0
'2021-08-04',STR01,501649.8000000001,709831.1,-208181.29999999987,477644.9600000001,5.025665925586242,253520.13000000012,97.87375464031194,441.0,1177.33,37.4576371960283,-736.3299999999999,344.0,28.197674418604656,169.0,160.94674556213016,1126.275011337868,1450.0,77.6741387129564,1368.2708139534927,-17.68625042263382,1283.1517751479323,-12.225893058674087,9.119398966880993,8.707246993819192,9.865200551891094,13.291738569241016,-1.1579535580719025,95.48049192102881,-4.584491575421824,43679.887129999996,64732.32999999999,67.47769952047146,47120.63323000001,-7.301994612859774,33697.23289999998,29.624551842653002,405.82,3194.2299999999977,12.704783312410198,0.08089707202115896,2014.14124,-79.85146265114953,0.0,0.0,3372.6213599999996,842.39,400.3634136207695,0.6723059313489208,2611.9919,29.120666874962353,5817.6915,-42.02818489086264,-6.4500000000000455,2607.23,-0.24738899138165965,-0.0012857575145051477,10253.000000000002,-100.06290841704867
'2021-08-04',STR11,181866.92999999996,196966.90999999997,-15099.98000000001,169179.3700000001,7.4994723056362345,0.0,0.0,324.0,436.5,74.22680412371135,-112.5,271.0,19.55719557195572,0.0,0.0,569.341327160493,600.0,94.89022119341551,624.2781180811814,-8.800050703289974,0.0,0.0,6.984264514278059,8.807214885081088,7.542612707447718,0.0,1.2646021776333694,126.10082088208914,0.0,16017.411329999999,13756.689999999999,116.43361397254719,12760.544660000001,25.522944018284544,0.0,0.0,1373.6708,886.3400000000001,154.98237696594984,0.7553164283358169,1627.64,-15.603524120812951,0.0,0.0,121.965,258.6499999999999,47.15445582833947,0.06706276946556476,1114.1907,-89.05348967640818,0.0,0.0,0.0,800.0899999999997,0.0,0.0,12.000000000000028,-100.0
'2021-08-04',STR12,62531.48,102757.34000000001,-40225.86000000001,62023.419999999984,0.8191421885475281,0.0,0.0,177.0,228.66,77.4075045919706,-51.66,150.0,17.999999999999993,0.0,0.0,356.00079096045204,450.0,79.11128688010045,420.9664666666665,-15.432506113997956,0.0,0.0,6.792380962761392,-11.506713146722259,4.367344158061585,0.0,-15.874057304783843,-169.40618039251277,0.0,-7195.31803,6979.669999999997,-103.08965939650447,2708.7762100000004,-365.6298443347596,0.0,0.0,0.0,462.40999999999997,0.0,0.0,0.0,0.0,0.0,0.0,683.9248600000001,139.66,489.70704568237153,1.09372888663438,555.15116,23.196150756489466,0.0,0.0,0.0,421.37999999999994,0.0,0.0,1986.5700000000002,-100.0
'2021-08-05',STR01,291777.2299999999,438538.24000000005,-146761.01000000013,321346.44000000006,-9.201660986193005,303585.45,-3.8895869350787704,282.0,341.85,82.49232119350592,-59.85000000000002,243.0,16.049382716049386,219.0,28.767123287671236,1034.989219858157,1550.0,66.77349805536497,1312.976337448564,-21.172286937828932,1270.0198630136977,-18.50606041686813,11.824977908425955,11.572282141413162,12.23974969817621,15.163666295601445,-0.6674675567630484,97.86303391879714,-3.591384154188283,33765.28427999999,51857.05,65.11223503843738,39331.99992,-14.153146677826012,46034.68455999998,-26.65251298509167,0.0,1973.4099999999999,0.0,0.0,489.3628,-100.0,0.0,0.0,2696.3020199999996,583.9000000000002,461.77462236684346,0.9240961057859108,3142.10477,-14.188029446261918,5931.11426,-54.539705326803144,542.3696799999999,1791.4999999999995,30.27461233603126,0.18588485468862667,653.3510799999997,-16.9864875711233
'2021-08-05',STR11,90186.23999999998,124603.82999999996,-34417.58999999998,86803.22000000002,3.8973439003759935,0.0,0.0,190.0,233.16,81.48910619317206,-43.16,148.0,28.37837837837838,0.0,0.0,474.6644210526316,650.0,73.02529554655871,610.9022972972973,-22.30109083684869,0.0,0.0,9.899759903046327,11.900606899677824,11.897044556642024,0.0,0.003562343035799387,120.21106588671712,0.0,10732.709899999998,12335.480000000007,87.00682827097114,10327.017760000002,3.9284539779855576,0.0,0.0,1921.48,560.7300000000002,342.67472758725216,2.130568920491641,198.7,867.0256668344239,0.0,0.0,1674.45278,158.20000000000005,1058.4404424778759,1.8566610383136057,1227.0013,36.4670746477612,0.0,0.0,0.0,490.90999999999974,0.0,0.0,631.7099999999999,-100.0
'2021-08-05',STR12,29220.219999999994,62924.82,-33704.600000000006,28146.869999999988,3.813390263286842,0.0,0.0,118.0,94.3,125.13255567338281,23.700000000000003,76.0,55.263157894736835,0.0,0.0,249.63101694915255,600.0,41.60516949152542,376.03118421052653,-33.614277902709,0.0,0.0,9.546503271681983,9.252187936983363,10.994466667164055,0.0,-1.7422787301806917,96.91703520836101,0.0,2703.5096699999995,6007.119999999999,45.005088461692125,3094.598239999998,-12.63778169795633,0.0,0.0,0.0,283.15999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.97999999999999,0.0,0.0,1463.11562,-100.0,0.0,0.0,0.0,230.28000000000003,0.0,0.0,2541.4900000000007,-100.0
'2021-08-06',STR01,282812.53,458627.9699999999,-175815.4399999999,324689.6300000001,-12.897578527531072,265740.6400000001,6.424267661882643,272.0,349.59,77.80542921708287,-77.58999999999997,239.0,13.807531380753147,206.0,32.038834951456316,1077.9119852941167,1550.0,69.54270872865268,1350.4710460251042,-20.18251790982277,1165.245291262136,-7.494843070631452,11.414942703996008,13.01608856227127,9.795656510495881,16.632269960665404,3.220432051775388,114.02675335124329,-3.6161813983941347,36811.12937,52352.119999999995,70.31449608917463,31805.480880000003,15.738320413660723,44198.70064000001,-16.714453508875838,813.0,2063.759999999999,39.394115594836634,0.2874695827656575,208.96,289.0696784073507,0.0,0.0,2171.1868999999997,588.5099999999996,368.92948293147117,0.7677124135907272,2414.40898,-10.073773002617003,5646.15922,-61.5457727031651,35.89738000000024,1822.2099999999998,1.9699913840885652,0.012692994896654769,568.2307600000006,-93.68260528521894
'2021-08-06',STR11,91371.73,117708.34,-26336.61,89309.96,2.308555507134913,0.0,0.0,179.0,248.05,72.16287038903447,-69.05000000000001,163.0,9.81595092024541,0.0,0.0,511.15726256983277,650.0,78.63957885689736,547.9138650306742,-6.708463648530527,0.0,0.0,8.717784992975009,11.775498351623638,10.589477590181426,0.0,1.1860207614422116,135.07442958403544,0.0,10759.476560000001,10261.56,104.85225014520212,9457.458199999995,13.76710668411949,0.0,0.0,872.97,529.7299999999998,164.79527306363627,0.9554049157217446,1377.34,-36.619135434968854,0.0,0.0,951.415,164.44000000000003,578.5788129408902,1.0412575092974599,1155.3306,-17.64997828327234,0.0,0.0,139.00599999999946,497.6599999999997,27.931921392115004,0.15213239368456685,665.6920000000001,-79.11857135131571
'2021-08-06',STR12,28269.29,55708.96000000002,-27439.67000000002,23679.299999999992,19.383976722284913,0.0,0.0,117.0,129.6,90.27777777777779,-12.599999999999994,65.0,80.0,0.0,0.0,241.6178632478633,600.0,40.26964387464388,364.29692307692295,-33.67556848761948,0.0,0.0,10.349843185010096,10.786974345659193,12.985916137723668,0.0,-2.198941792064476,104.22355346680231,0.0,3049.4010599999997,5765.790000000003,52.88782734022568,3074.9740399999996,-0.8316486470240192,0.0,0.0,0.0,250.7,0.0,0.0,0.0,0.0,0.0,0.0,540.4142200000001,100.86000000000004,535.8062859409081,1.9116653442658096,518.15724,4.2954104047644215,0.0,0.0,0.0,294.68000000000006,0.0,0.0,0.0,0.0
'2021-08-07',STR01,751716.5100000002,1654000.0,-902283.4899999998,504622.4000000003,48.966139830495,438636.22000000015,71.37584078214061,474.0,827.4,57.28788977519942,-353.4,304.0,55.92105263157894,223.0,112.55605381165918,1582.487468354431,1600.0,98.90546677215194,1662.14335526316,-4.792359615462727,1687.8850224215248,-6.244356260468809,7.335313784764205,8.762363019005662,12.912535347221993,15.144192677476564,-4.150172328216332,119.45450837025548,-6.3818296584709024,65868.12948000002,121326.08999999995,54.2901609043859,65159.54576999999,1.0874595604168036,66427.91431000002,-0.8426951768915281,0.0,7442.950000000003,0.0,0.0,244.8,-100.0,0.0,0.0,4295.02246,2066.28,207.86255783340107,0.5713619965590484,4245.3626,1.1697436633563374,4002.5145,7.308104942530491,0.0,6403.7599999999975,0.0,0.0,2258.9099999999994,-100.0
'2021-08-07',STR11,122133.09000000001,320000.01000000007,-197866.92000000004,84588.83,44.38441813180298,0.0,0.0,225.0,400.4,56.193806193806196,-175.39999999999998,169.0,33.136094674556205,0.0,0.0,549.1674222222216,740.0,74.21181381381373,502.3452662721899,9.320712086627214,0.0,0.0,5.367559207263774,10.261974752296862,8.004427511291976,0.0,2.257547241004886,191.1851244865563,0.0,12533.266860000005,17176.190000000002,72.96884151840428,6770.8515800000005,85.10621170638635,0.0,0.0,749.28,1440.0500000000002,52.03152668310127,0.6134946720827255,892.28,-16.0263594387412,0.0,0.0,2073.4814,376.29999999999984,551.0181769864473,1.697722869371437,1745.6630000000002,18.77901977644023,0.0,0.0,0.0,1160.3899999999994,0.0,0.0,346.57949999999994,-100.0
